answer|answerValue|victory|guesses|values|rounds
filet|6904|true|cares, boney, piled, gilet, filet|11687, 8870, 7132, 6923, 6904|5
filly|5877|true|cares, ponty, bilgy, milky, dilly, filly|11687, 7181, 5791, 5568, 5939, 5877|6
filmy|5414|true|cares, ponty, bilgy, milky, filmy|11687, 7181, 5791, 5568, 5414|5
filth|4825|true|cares, ponty, filth|11687, 7181, 4825|3
final|5291|true|cares, today, binal, final|11687, 6706, 5639, 5291|4
finch|4494|true|cares, poncy, bunch, ginch, cinch, finch|11687, 6707, 4630, 4513, 4880, 4494|6
finer|6952|true|cares, boner, miner, diner, finer|11687, 8090, 7018, 7014, 6952|5
first|5347|true|cares, gorsy, burst, first|11687, 6841, 5483, 5347|4
fishy|4860|true|cares, bosky, misty, dishy, fishy|11687, 6293, 5700, 4922, 4860|5
fixer|5994|false|cares, boner, piler, timer, direr, firer|11687, 8090, 7076, 6651, 7272, 7210|6
fizzy|4283|true|cares, ponty, bilgy, widdy, miffy, fizzy|11687, 7181, 5791, 0, 4521, 4283|6
fjord|3796|true|cares, loury, fiord, fjord|11687, 6408, 5368, 3796|4
flack|4112|false|cares, poach, diact, black, clack, alack|11687, 5991, 5467, 4460, 4498, 4256|6
flail|4847|true|cares, goaty, bland, ulama, flail|11687, 7373, 5436, 0, 4847|5
flair|5100|true|cares, glair, flair|11687, 5119, 5100|3
flake|5681|true|cares, poake, flake|11687, 7423, 5681|3
flaky|5400|true|cares, goaty, bialy, flaky|11687, 7373, 6808, 5400|4
flame|5593|true|cares, poake, diane, blate, flame|11687, 7423, 6840, 6508, 5593|5
flank|4519|true|cares, goaty, bland, plank, flank|11687, 7373, 5436, 4786, 4519|5
flare|5994|true|cares, blare, glare, flare|11687, 6342, 6013, 5994|4
flash|4373|true|cares, boast, plash, flash|11687, 6667, 4640, 4373|4
flask|4236|true|cares, boast, plash, flask|11687, 6667, 4640, 4236|4
fleck|3628|true|cares, blech, fleck|11687, 4113, 3628|3
fleet|6318|true|cares, boney, piled, gleet, fleet|11687, 8870, 7132, 0, 6318|5
flesh|3889|true|cares, poesy, fiest, flesh|11687, 6787, 5045, 3889|4
flick|3886|true|cares, poncy, mulct, flick|11687, 6707, 4676, 3886|4
flier|6481|true|cares, boner, piler, flier|11687, 8090, 7076, 6481|4
fling|4105|true|cares, ponty, blind, fling|11687, 7181, 5210, 4105|4
flint|4901|true|cares, ponty, glint, flint|11687, 7181, 4920, 4901|4
flirt|4802|true|cares, loury, flirt|11687, 6408, 4802|3
float|5088|true|cares, today, bloat, ploat, gloat, float|11687, 6706, 5436, 5355, 5107, 5088|6
flock|3806|true|cares, poncy, block, flock|11687, 6707, 4154, 3806|4
flood|4642|true|cares, ponty, viold, flood|11687, 7181, 4981, 0|4
floor|4586|true|cares, minor, pudor, rotor, floor|11687, 5203, 4554, 0, 4586|5
flora|4486|true|cares, moira, flora|11687, 6107, 4486|3
floss|7552|true|cares, boils, plots, flogs, floss|11687, 9701, 8169, 7364, 7552|5
flour|4239|true|cares, minor, flour|11687, 5203, 4239|3
flout|4334|true|cares, ponty, quoit, glout, flout|11687, 7181, 4729, 4353, 4334|5
flown|3684|true|cares, ponty, quoin, blown, flown|11687, 7181, 4409, 4032, 3684|5
fluff|2842|true|cares, ponty, build, fluff|11687, 7181, 5646, 0|4
fluid|4445|true|cares, ponty, build, fluid|11687, 7181, 5646, 4445|4
fluke|4970|true|cares, boite, munge, fluke|11687, 7757, 5721, 4970|4
flume|4882|true|cares, boite, munge, plume, flume|11687, 7757, 5721, 5149, 4882|5
flung|3620|true|cares, ponty, blind, flunk, flung|11687, 7181, 5210, 3808, 3620|5
flunk|3808|true|cares, ponty, blind, flunk|11687, 7181, 5210, 3808|4
flush|3662|true|cares, bousy, giust, plush, slush, flush|11687, 6641, 4837, 3929, 4859, 3662|6
flute|5449|true|cares, boite, glute, flute|11687, 7757, 5468, 5449|4
flyer|5406|true|cares, boner, piler, gluer, fleer, flyer|11687, 8090, 7076, 6015, 6223, 5406|6
foamy|6787|true|cares, goaty, foamy|11687, 7373, 6787|3
focal|5426|true|cares, focal|11687, 5426|2
focus|8034|true|cares, locis, bocks, docus, focus|11687, 8520, 8457, 8096, 8034|5
foggy|5704|true|cares, ponty, doily, womby, gooky, foggy|11687, 7181, 7086, 5375, 6588, 5704|6
foist|6093|true|cares, bousy, moist, foist|11687, 6641, 6159, 6093|4
folio|5554|true|cares, ponty, mould, bolix, folio|11687, 7181, 5881, 5533, 5554|5
folly|6667|false|cares, ponty, doily, jowly, mooly, gooly|11687, 7181, 7086, 5492, 7010, 6963|6
foray|7372|true|cares, moray, foray|11687, 7438, 7372|3
force|6979|true|cares, force|11687, 6979|2
forge|6915|true|cares, borne, forte, forge|11687, 7734, 7453, 6915|4
forgo|5416|true|cares, borty, porin, world, morro, forgo|11687, 7520, 6435, 6106, 5854, 5416|6
forte|7453|true|cares, borne, forte|11687, 7734, 7453|3
forth|6016|true|cares, borty, forth|11687, 7520, 6016|3
forty|7172|true|cares, borty, porty, dorty, forty|11687, 7520, 7439, 7234, 7172|5
forum|5177|true|cares, borty, porin, world, morro, forum|11687, 7520, 6435, 6106, 5854, 5177|6
found|5852|true|cares, ponty, bound, mound, found|11687, 7181, 6200, 5918, 5852|5
foyer|6881|false|cares, boner, goier, poler, wooer, toter|11687, 8090, 7975, 7866, 7638, 7596|6
frail|5154|true|cares, praty, braid, grain, frail|11687, 6453, 5811, 5201, 5154|5
frame|5900|false|cares, brane, prate, drake, arame, grame|11687, 6748, 6734, 6050, 6044, 5919|6
frank|4826|true|cares, praty, braid, frank|11687, 6453, 5811, 4826|4
fraud|4908|true|cares, praty, braid, grand, fraud|11687, 6453, 5811, 5414, 4908|5
freak|4609|true|cares, bread, great, freak|11687, 5526, 5236, 4609|4
freed|6586|false|cares, pried, trued, orbed, dreed, greed|11687, 7111, 6589, 5488, 6648, 6605|6
freer|6530|true|cares, pried, gruel, yrneh, breer, freer|11687, 7111, 6069, 5651, 6878, 6530|6
fresh|4196|true|cares, prest, fresh|11687, 4934, 4196|3
friar|5380|true|cares, broad, prial, friar|11687, 5704, 5394, 0|4
fried|6844|true|cares, pried, tried, fried|11687, 7111, 7074, 6844|4
frill|4823|true|cares, briny, trild, prill, grill, frill|11687, 6241, 5362, 0, 4842, 4823|6
frisk|4317|true|cares, brosy, grist, prism, frisk|11687, 5878, 4944, 4436, 4317|5
fritz|4331|true|cares, briny, trild, grith, fritt, fritz|11687, 6241, 5362, 4823, 5275, 4331|6
frock|4113|true|cares, pricy, broch, trock, crock, frock|11687, 5753, 4598, 4343, 4499, 4113|6
frond|5089|true|cares, briny, front, frond|11687, 6241, 5128, 5089|4
front|5128|true|cares, briny, front|11687, 6241, 5128|3
frost|4845|true|cares, brosy, prost, frost|11687, 5878, 5112, 4845|4
froth|4724|true|cares, briny, proud, froth|11687, 6241, 4869, 4724|4
frown|3991|true|cares, briny, drown, grown, frown|11687, 6241, 4053, 4010, 3991|5
froze|5270|true|cares, brine, prole, wrote, frore, froze|11687, 6522, 6324, 5923, 5995, 5270|6
fruit|4791|true|cares, briny, droit, fruit|11687, 6241, 5258, 4791|4
fudge|5017|true|cares, boite, munge, pudge, fudge|11687, 7757, 5721, 5284, 5017|5
fugue|4967|true|cares, boite, munge, fugle, fugue|11687, 7757, 5721, 5417, 4967|5
fully|5665|true|cares, ponty, bilgy, hulky, dully, fully|11687, 7181, 5791, 5114, 5727, 5665|6
fungi|4000|true|cares, ponty, bundh, fungi|11687, 7181, 4607, 4000|4
funky|5433|true|cares, ponty, bingy, funky|11687, 7181, 5934, 5433|4
funny|5845|true|cares, ponty, bingy, funky, funny|11687, 7181, 5934, 5433, 5845|5
furor|5183|true|cares, borty, giron, furol, furor|11687, 7520, 5189, 4930, 5183|5
furry|6004|true|cares, borty, mirly, durgy, furry|11687, 7520, 6344, 5694, 6004|5
fussy|5072|true|cares, bosky, misty, pushy, gussy, fussy|11687, 6293, 5700, 4915, 5091, 5072|6
fuzzy|4071|true|cares, ponty, bilgy, dumky, fuffy, fuzzy|11687, 7181, 5791, 4964, 4243, 4071|6
gaffe|5737|true|cares, daine, haole, taupe, mamee, gaffe|11687, 7596, 7241, 6777, 8530, 5737|6
gaily|7235|true|cares, banty, daily, gaily|11687, 7454, 7278, 7235|4
gamer|7422|true|cares, baler, pater, gamer|11687, 8139, 7825, 7422|4
gamma|5106|true|cares, banty, halid, kapow, mamma, gamma|11687, 7454, 6064, 4296, 5153, 5106|6
gamut|5355|true|cares, banty, dault, gamut|11687, 7454, 6108, 5355|4
gassy|6285|true|cares, pasty, mashy, sassy, bassy, gassy|11687, 6883, 5908, 0, 6614, 6285|6
gaudy|6357|true|cares, banty, daily, gaudy|11687, 7454, 7278, 6357|4
gauge|6597|true|cares, daine, haole, taupe, gauge|11687, 7596, 7241, 6777, 6597|5
gaunt|6102|true|cares, banty, paint, daunt, taunt, gaunt|11687, 7454, 6835, 6145, 6313, 6102|6
gauze|6244|true|cares, daine, haole, taupe, gauge, gauze|11687, 7596, 7241, 6777, 6597, 6244|6
gavel|6886|true|cares, waney, baled, gavel|11687, 8476, 8195, 6886|4
gawky|5840|true|cares, banty, daily, gaumy, gappy, gawky|11687, 7454, 7278, 6287, 5875, 5840|6
gayer|7092|true|cares, baler, pater, gamer, gager, gayer|11687, 8139, 7825, 7422, 7281, 7092|6
gayly|6160|true|cares, banty, daily, haply, gally, gayly|11687, 7454, 7278, 6145, 6878, 6160|6
gazer|7003|false|cares, baler, pater, gamer, gager, gayer|11687, 8139, 7825, 7422, 7281, 7092|6
gecko|4076|true|cares, decoy, gecko|11687, 5609, 4076|3
geeky|5905|true|cares, benty, veily, deoxy, geeky|11687, 6757, 6070, 5583, 5905|5
geese|6315|true|cares, deist, mensh, peyse, geese|11687, 5650, 4969, 0, 6315|5
genie|6710|true|cares, benty, denim, genip, genie|11687, 6757, 5031, 4967, 6710|5
genre|6543|true|cares, henry, genro, genre|11687, 6067, 5044, 0|4
ghost|4347|true|cares, bousy, glost, ghost|11687, 6641, 4557, 4347|4
ghoul|3795|true|cares, ponty, viold, ghoul|11687, 7181, 4981, 3795|4
giant|5831|true|cares, goaty, giant|11687, 7373, 5831|3
giddy|5008|true|cares, ponty, bilgy, giddy|11687, 7181, 5791, 0|4
gipsy|5112|true|cares, bousy, ditsy, gipsy|11687, 6641, 5460, 5112|4
girly|6297|true|cares, borty, mirly, girly|11687, 7520, 6344, 6297|4
girth|5245|true|cares, borty, mirth, girth|11687, 7520, 5292, 5245|4
given|5932|true|cares, boney, limen, given|11687, 8870, 6127, 5932|4
giver|6157|false|cares, boner, piler, timer, direr, firer|11687, 8090, 7076, 6651, 7272, 7210|6
glade|5682|true|cares, poake, diane, blade, glade|11687, 7423, 6840, 6011, 5682|5
gland|5107|true|cares, goaty, gland|11687, 7373, 5107|3
glare|6013|true|cares, blare, glare|11687, 6342, 6013|3
glass|7877|true|cares, boats, pians, duals, slags, glass|11687, 10031, 9093, 8639, 8867, 7877|6
glaze|5288|true|cares, poake, diane, blate, flame, glaze|11687, 7423, 6840, 6508, 5593, 5288|6
gleam|4173|true|cares, zoeal, bleat, plead, glean, gleam|11687, 5411, 5258, 5138, 4609, 4173|6
glean|4609|true|cares, zoeal, bleat, plead, glean|11687, 5411, 5258, 5138, 4609|5
glide|5456|true|cares, boite, guile, glike, glide|11687, 7757, 6322, 5474, 5456|5
glint|4920|true|cares, ponty, glint|11687, 7181, 4920|3
gloat|5107|true|cares, today, bloat, ploat, gloat|11687, 6706, 5436, 5355, 5107|5
globe|5103|true|cares, boite, globe|11687, 7757, 5103|3
gloom|3944|true|cares, ponty, viold, kloof, bloom, gloom|11687, 7181, 4981, 0, 4273, 3944|6
glory|5426|true|cares, loury, glory|11687, 6408, 5426|3
gloss|7571|true|cares, boils, plots, flogs, gloss|11687, 9701, 8169, 7364, 7571|5
glove|5038|true|cares, boite, phone, glode, glove|11687, 7757, 5844, 5376, 5038|5
glyph|2872|true|cares, ponty, glyph|11687, 7181, 2872|3
gnash|3924|false|cares, boast, plash, quash, shash, snash|11687, 6667, 4640, 4213, 5360, 5102|6
gnome|4838|true|cares, boite, phone, gnome|11687, 7757, 5844, 4838|4
godly|6191|true|cares, ponty, doily, godly|11687, 7181, 7086, 6191|4
going|5599|true|cares, ponty, bound, hoing, going|11687, 7181, 6200, 5404, 5599|5
golem|6957|true|cares, boney, poled, volet, golem|11687, 8870, 7922, 7245, 6957|5
golly|6686|false|cares, ponty, doily, jowly, mooly, gooly|11687, 7181, 7086, 5492, 7010, 6963|6
gonad|6409|true|cares, today, monad, gonad|11687, 6706, 6456, 6409|4
goner|7761|true|cares, boner, toner, moner, doner, goner|11687, 8090, 7972, 7808, 7804, 7761|6
goody|6570|false|cares, ponty, doily, howdy, boody, moody|11687, 7181, 7086, 5435, 6899, 6617|6
gooey|8675|true|cares, boney, poley, motey, gooey|11687, 8870, 8646, 8212, 8675|5
goofy|6298|true|cares, ponty, doily, womby, gooky, goofy|11687, 7181, 7086, 5375, 6588, 6298|6
goose|6998|false|cares, poise, bouse, towse, sonse, moose|11687, 7326, 6922, 6269, 8042, 7045|6
gorge|6934|true|cares, borne, forte, porge, gorge|11687, 7734, 7453, 7182, 6934|5
gouge|6405|true|cares, boite, poule, vouge, gouge|11687, 7757, 7087, 5937, 6405|5
gourd|5772|true|cares, loury, bourd, gourd|11687, 6408, 6101, 5772|4
grace|6012|true|cares, brace, trace, grace|11687, 6341, 6223, 6012|4
grade|5989|true|cares, brane, prate, drake, grade|11687, 6748, 6734, 6050, 5989|5
graft|4751|false|cares, praty, brant, krait, tratt, draft|11687, 6453, 5782, 5164, 5731, 4794|6
grail|5173|true|cares, praty, braid, grain, grail|11687, 6453, 5811, 5201, 5173|5
grain|5201|true|cares, praty, braid, grain|11687, 6453, 5811, 5201|4
grand|5414|true|cares, praty, braid, grand|11687, 6453, 5811, 5414|4
grant|5453|true|cares, praty, brant, drant, trant, grant|11687, 6453, 5782, 5496, 5664, 5453|6
grape|5917|true|cares, brane, prate, drape, grape|11687, 6748, 6734, 5960, 5917|5
graph|4480|true|cares, praty, graph|11687, 6453, 4480|3
grasp|4393|true|cares, brast, grasp|11687, 5499, 4393|3
grass|8184|true|cares, brats, praos, grans, grass|11687, 8863, 8575, 8467, 8184|5
grate|6486|true|cares, brane, prate, grate|11687, 6748, 6734, 6486|4
grave|5651|false|cares, brane, prate, drake, arame, urare|11687, 6748, 6734, 6050, 6044, 5789|6
gravy|5370|true|cares, praty, braky, gravy|11687, 6453, 6055, 5370|4
graze|5595|false|cares, brane, prate, drake, arame, urare|11687, 6748, 6734, 6050, 6044, 5789|6
great|5236|true|cares, bread, great|11687, 5526, 5236|3
greed|6605|true|cares, pried, trued, orbed, dreed, greed|11687, 7111, 6589, 5488, 6648, 6605|6
green|6324|true|cares, pried, gruel, greet, green|11687, 7111, 6069, 0, 6324|5
greet|6644|true|cares, pried, gruel, greet|11687, 7111, 6069, 0|4
grief|6030|true|cares, pried, brief, grief|11687, 7111, 6359, 6030|4
grill|4842|true|cares, briny, trild, prill, grill|11687, 6241, 5362, 0, 4842|5
grime|5693|true|cares, brine, pride, write, grike, grime|11687, 6522, 6011, 6003, 5781, 5693|6
grimy|5412|true|cares, briny, drily, primy, grimy|11687, 6241, 5918, 5660, 5412|5
grind|5188|true|cares, briny, print, grind|11687, 6241, 5475, 5188|4
gripe|5691|true|cares, brine, pride, tripe, gripe|11687, 6522, 6011, 5902, 5691|5
groan|5094|true|cares, broad, groat, groan|11687, 5704, 5414, 5094|4
groin|4895|true|cares, briny, proin, groin|11687, 6241, 5143, 4895|4
groom|4251|true|cares, briny, proud, froth, groom|11687, 6241, 4869, 4724, 4251|5
grope|5611|true|cares, brine, prole, trope, grope|11687, 6522, 6324, 5822, 5611|5
gross|7878|true|cares, brits, frons, prods, gross|11687, 8637, 8142, 7979, 7878|5
group|3883|true|cares, briny, proud, group|11687, 6241, 4869, 3883|4
grout|4660|true|cares, briny, proud, grout|11687, 6241, 4869, 4660|4
grove|5345|false|cares, brine, prole, wrote, frore, droke|11687, 6522, 6324, 5923, 5995, 5744|6
growl|3982|true|cares, briny, proud, froth, groom, growl|11687, 6241, 4869, 4724, 4251, 3982|6
grown|4010|true|cares, briny, drown, grown|11687, 6241, 4053, 4010|4
gruel|6069|true|cares, pried, gruel|11687, 7111, 6069|3
gruff|3168|true|cares, briny, proud, truth, gruff|11687, 6241, 4869, 0, 3168|5
grunt|4742|true|cares, briny, front, prunt, grunt|11687, 6241, 5128, 4990, 4742|5
guard|5481|true|cares, goary, guard|11687, 7207, 5481|3
guava|4615|true|cares, goaty, gland, ghazi, guava|11687, 7373, 5107, 3423, 4615|5
guess|7866|true|cares, boets, miens, duels, guess|11687, 9547, 8408, 8155, 7866|5
guest|4852|true|cares, poesy, fiest, guest|11687, 6787, 5045, 4852|4
guide|5929|true|cares, boite, guile, guide|11687, 7757, 6322, 5929|4
guild|5317|true|cares, ponty, build, guild|11687, 7181, 5646, 5317|4
guile|6322|true|cares, boite, guile|11687, 7757, 6322|3
guilt|5356|true|cares, ponty, built, guilt|11687, 7181, 5685, 5356|4
guise|6076|true|cares, poise, guise|11687, 7326, 6076|3
gulch|4158|true|cares, poncy, mulct, gulch|11687, 6707, 4676, 4158|4
gully|5684|true|cares, ponty, bilgy, gulfy, gully|11687, 7181, 5791, 5019, 5684|5
gumbo|3412|true|cares, ponty, milko, dumbo, bumbo, gumbo|11687, 7181, 4350, 3455, 3741, 3412|6
gummy|4833|true|cares, ponty, bilgy, gummy|11687, 7181, 5791, 0|4
guppy|4681|false|cares, ponty, duply, yuppy, buppy, puppy|11687, 7181, 5189, 0, 5010, 4929|6
gusto|4223|true|cares, bosky, gusto|11687, 6293, 4223|3
gusty|5441|true|cares, bosky, misty, dusty, gusty|11687, 6293, 5700, 5484, 5441|5
gypsy|3821|true|cares, bousy, ditsy, gypsy|11687, 6641, 5460, 0|4
habit|5535|true|cares, banty, habit|11687, 7454, 5535|3
hairy|6978|true|cares, dairy, fairy, lairy, hairy|11687, 7216, 7154, 7085, 6978|5
halve|6233|true|cares, daine, haole, halve|11687, 7596, 7241, 6233|4
handy|6433|false|cares, banty, manly, pandy, dandy, gandy|11687, 7454, 7068, 6876, 6671, 6628|6
happy|5680|true|cares, banty, daily, gaumy, pappy, happy|11687, 7454, 7278, 6287, 6123, 5680|6
hardy|6691|true|cares, barny, party, marly, harry, hardy|11687, 7645, 7631, 7326, 7022, 6691|6
harem|7355|true|cares, bared, paren, harem|11687, 8596, 8234, 7355|4
harpy|6619|true|cares, barny, party, harpy|11687, 7645, 7631, 6619|4
harry|7022|true|cares, barny, party, marly, harry|11687, 7645, 7631, 7326, 7022|5
harsh|5682|true|cares, karsy, warst, marsh, harsh|11687, 6676, 6091, 5924, 5682|5
haste|6721|true|cares, baste, paste, haste|11687, 7245, 7164, 6721|4
hasty|6440|true|cares, pasty, masty, hasty|11687, 6883, 6682, 6440|4
hatch|4924|false|cares, talcy, batch, patch, catch, match|11687, 6719, 5448, 5367, 5486, 5166|6
hater|7382|false|cares, baler, pater, mater, tater, dater|11687, 8139, 7825, 7624, 7788, 7620|6
haunt|5907|false|cares, banty, paint, daunt, taunt, gaunt|11687, 7454, 6835, 6145, 6313, 6102|6
haute|6940|true|cares, daine, haole, haute|11687, 7596, 7241, 6940|4
haven|6719|false|cares, waney, paten, baken, laden, maven|11687, 8476, 7600, 7238, 7002, 6961|6
havoc|4402|true|cares, panic, havoc|11687, 5867, 4402|3
hazel|6555|true|cares, waney, baled, gavel, lapel, hazel|11687, 8476, 8195, 6886, 6931, 6555|6
heady|6176|true|cares, beaty, meany, peaky, vealy, heady|11687, 7197, 6848, 6637, 6296, 6176|6
heard|5783|true|cares, teary, beard, heard|11687, 6913, 6307, 5783|4
heart|5822|true|cares, teary, peart, feart, heart|11687, 6913, 6265, 5998, 5822|5
heath|5517|true|cares, beaty, meath, death, heath|11687, 7197, 5759, 5755, 5517|5
heave|6119|true|cares, beaty, heald, heave|11687, 7197, 5845, 0|4
heavy|5838|true|cares, beaty, meany, peaky, vealy, heavy|11687, 7197, 6848, 6637, 6296, 5838|6
hedge|5338|true|cares, benty, geoid, wedge, ledge, hedge|11687, 6757, 5839, 0, 5445, 5338|6
hefty|5333|false|cares, benty, deity, melty, petty, jetty|11687, 6757, 6685, 6332, 6300, 5521|6
heist|5412|true|cares, deist, geist, feist, heist|11687, 5650, 5607, 5588, 5412|5
helix|4504|true|cares, benty, geoid, melik, helix|11687, 6757, 5839, 5040, 4504|5
hello|4768|true|cares, benty, geoid, mezzo, hello|11687, 6757, 5839, 0, 4768|5
hence|6040|true|cares, bench, hench, hence|11687, 5127, 0, 0|4
heron|5279|true|cares, derny, heron|11687, 6662, 5279|3
hilly|5701|false|cares, ponty, bilgy, milky, dilly, filly|11687, 7181, 5791, 5568, 5939, 5877|6
hinge|5691|true|cares, boite, minke, dinge, ginge, hinge|11687, 7757, 5992, 5929, 5886, 5691|6
hippo|3480|true|cares, ponty, zoppo, hippo|11687, 7181, 0, 0|4
hippy|4698|false|cares, ponty, duply, zippy, pippy, gippy|11687, 7181, 5189, 0, 5141, 4893|6
hitch|3942|false|cares, poncy, mulct, bitch, titch, ditch|11687, 6707, 4676, 4466, 4348, 4180|6
hoard|6288|true|cares, goary, boart, hoard|11687, 7207, 6851, 6288|4
hobby|5257|false|cares, ponty, doily, womby, booby, gooby|11687, 7181, 7086, 5375, 6626, 6297|6
hoist|5917|true|cares, bousy, moist, foist, hoist|11687, 6641, 6159, 6093, 5917|5
holly|6491|false|cares, ponty, doily, jowly, mooly, gooly|11687, 7181, 7086, 5492, 7010, 6963|6
homer|7035|false|cares, boner, goier, poler, wooer, toter|11687, 8090, 7975, 7866, 7638, 7596|6
honey|8346|true|cares, boney, poney, toney, money, honey|11687, 8870, 8789, 8752, 8588, 8346|6
honor|5751|true|cares, minor, honor|11687, 5203, 0|3
horde|6780|true|cares, borne, forte, porge, doree, horde|11687, 7734, 7453, 7182, 9123, 6780|6
horny|6929|true|cares, borty, porny, horny|11687, 7520, 7372, 6929|4
horse|6927|true|cares, torse, morse, dorse, gorse, horse|11687, 7333, 7169, 7165, 7122, 6927|6
hotel|6937|true|cares, boney, poled, motel, hotel|11687, 8870, 7922, 7179, 6937|5
hotly|6258|true|cares, ponty, hotly|11687, 7181, 6258|3
hound|5676|false|cares, ponty, bound, mound, found, lound|11687, 7181, 6200, 5918, 5852, 5783|6
house|6398|false|cares, poise, bouse, touse, souse, mouse|11687, 7326, 6922, 6804, 7771, 6640|6
hovel|6499|true|cares, boney, poled, motel, hovel|11687, 8870, 7922, 7179, 6499|5
hover|6752|false|cares, boner, goier, poler, wooer, toter|11687, 8090, 7975, 7866, 7638, 7596|6
howdy|5435|true|cares, ponty, doily, howdy|11687, 7181, 7086, 5435|4
human|4400|true|cares, today, binal, human|11687, 6706, 5639, 4400|4
humid|4482|true|cares, ponty, build, humid|11687, 7181, 5646, 4482|4
humor|4218|true|cares, minor, tumor, humor|11687, 5203, 4624, 4218|4
humph|3480|true|cares, ponty, gulph, bumph, humph|11687, 7181, 4063, 4004, 3480|5
humus|6980|true|cares, boils, punts, humfs, humus|11687, 9701, 8508, 6765, 6980|5
hunch|4106|false|cares, poncy, bunch, munch, dunch, lunch|11687, 6707, 4630, 4348, 4344, 4213|6
hunky|5257|true|cares, ponty, bingy, funky, hunky|11687, 7181, 5934, 5433, 5257|5
hurry|5828|true|cares, borty, mirly, durgy, furry, hurry|11687, 7520, 6344, 5694, 6004, 5828|6
husky|4767|false|cares, bosky, pisky, tusky, musky, dusky|11687, 6293, 5422, 5173, 5009, 5005|6
hussy|4896|true|cares, bosky, misty, pushy, hussy|11687, 6293, 5700, 4915, 4896|5
hutch|3730|false|cares, poncy, mulct, butch, cutch, dutch|11687, 6707, 4676, 4254, 4292, 3968|6
hydro|2635|true|cares, loury, hydro|11687, 6408, 2635|3
hyena|3625|true|cares, pieta, voema, quena, faena, hyena|11687, 5426, 4933, 4247, 6074, 3625|6
hymen|4729|true|cares, boney, hymen|11687, 8870, 4729|3
hyper|4804|true|cares, boner, piler, duper, ryper, hyper|11687, 8090, 7076, 6121, 4979, 4804|6
icily|4330|true|cares, ycond, icily|11687, 3551, 0|3
icing|2886|true|cares, ycond, icing|11687, 3551, 0|3
ideal|3231|true|cares, zoeal, wheal, ideal|11687, 5411, 4114, 3231|4
idiom|2674|true|cares, ponty, buxom, idiom|11687, 7181, 3654, 0|4
idiot|3430|true|cares, ponty, bigot, idiot|11687, 7181, 4908, 0|4
idler|4793|true|cares, boner, piler, idler|11687, 8090, 7076, 4793|4
idyll|2110|true|cares, ponty, idyll|11687, 7181, 0|3
igloo|2524|true|cares, ponty, buxom, widow, igloo|11687, 7181, 3654, 0, 2524|5
iliac|3811|true|cares, linac, iliac|11687, 4748, 0|3
image|4413|true|cares, poake, diane, image|11687, 7423, 6840, 4413|4
imbue|3246|true|cares, boite, imbue|11687, 7757, 3246|3
impel|4124|true|cares, boney, piled, impel|11687, 8870, 7132, 4124|4
imply|3445|true|cares, ponty, duply, hiply, imply|11687, 7181, 5189, 5163, 3445|5
inane|5090|true|cares, poake, diane, inane|11687, 7423, 6840, 0|4
inbox|1931|true|cares, ponty, ungod, inbox|11687, 7181, 2856, 1931|4
incur|2447|true|cares, mucor, incur|11687, 4336, 2447|3
index|3819|true|cares, boney, unlet, inked, indew, index|11687, 8870, 5239, 4501, 3822, 3819|6
inept|3138|true|cares, goety, fient, inept|11687, 6889, 5328, 3138|4
inert|3541|true|cares, fiery, inert|11687, 5914, 3541|3
infer|4364|true|cares, boner, inter, inker, inner, infer|11687, 8090, 4888, 4445, 5264, 4364|6
ingot|2872|true|cares, ponty, ungot, ingot|11687, 7181, 2895, 2872|4
inlay|4493|true|cares, today, unlay, inlay|11687, 6706, 4516, 4493|4
inlet|5216|true|cares, boney, unlet, inlet|11687, 8870, 5239, 5216|4
inner|5264|true|cares, boner, miner, inner|11687, 8090, 7018, 0|4
input|2516|true|cares, ponty, input|11687, 7181, 2516|3
inter|4888|true|cares, boner, inter|11687, 8090, 4888|3
intro|2676|true|cares, loury, fibro, intro|11687, 6408, 4029, 2676|4
ionic|4873|true|cares, tonic, monic, yonic, conic, ionic|11687, 5638, 5474, 4861, 5794, 4873|6
irate|5932|false|cares, brane, prate, grate, frate, wrate|11687, 6748, 6734, 6486, 6467, 6229|6
irony|5278|true|cares, briny, irony|11687, 6241, 5278|3
islet|4893|true|cares, tsked, islet|11687, 4943, 4893|3
issue|3350|true|cares, istle, issue|11687, 3914, 0|3
itchy|2891|true|cares, pocky, dicty, itchy|11687, 6047, 5531, 2891|4
ivory|4039|true|cares, loury, ivory|11687, 6408, 4039|3
jaunt|5571|false|cares, banty, paint, daunt, taunt, gaunt|11687, 7454, 6835, 6145, 6313, 6102|6
jazzy|4753|false|cares, banty, daily, gaumy, pappy, faffy|11687, 7454, 7278, 6287, 6123, 5437|6
jelly|5650|false|cares, benty, veily, welly, delly, gelly|11687, 6757, 6070, 0, 6224, 6181|6
jerky|5676|true|cares, derny, ferly, perky, kerky, jerky|11687, 6662, 6563, 6455, 5850, 5676|6
jetty|5521|true|cares, benty, deity, melty, petty, jetty|11687, 6757, 6685, 6332, 6300, 5521|6
jewel|5666|true|cares, boney, piled, kugel, tewel, jewel|11687, 8870, 7132, 5477, 6408, 5666|6
jiffy|3943|true|cares, ponty, bilgy, widdy, miffy, jiffy|11687, 7181, 5791, 0, 4521, 3943|6
joint|5864|true|cares, ponty, mount, joint|11687, 7181, 5957, 5864|4
